id,selfreport_date,selfreport_duration,selfreport_finished,PA-1,PA-2,PA-3,PA-4,PA-5,PA-6,PA-7,PA-8,PA-9,PA-10,PA-11,PA-12,PA-13,PA-14,PA-15,PA-16,PA-17,PA-18,PA-19,PA-20
s0041,9/13/21 12:12,3,True,,,,,,,,,,,,,,,,,,,,
s0043,9/13/21 11:49,8,True,,,,,,,,,,,,,,,,,,,,
s0044,9/23/21 06:33,36,True,Quite a bit,Very slightly or not at all,Quite a bit,Very slightly or not at all,Quite a bit,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Quite a bit,Extremely,Very slightly or not at all,Extremely,Very slightly or not at all,Moderately,Very slightly or not at all,Quite a bit,Extremely,Very slightly or not at all,Quite a bit,Very slightly or not at all
s0045,9/22/21 08:25,41,True,Extremely,A little,A little,A little,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Extremely,Quite a bit,Moderately,Extremely,Very slightly or not at all,A little,Moderately,Extremely,Extremely,Moderately,Moderately,Very slightly or not at all
s0046,9/22/21 07:22,35,True,Moderately,Moderately,Quite a bit,Moderately,Moderately,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Moderately,A little,Very slightly or not at all,Quite a bit,Very slightly or not at all,A little,Very slightly or not at all,Very slightly or not at all,Extremely,A little,Quite a bit,Very slightly or not at all
s0047,9/22/21 06:31,53,True,Quite a bit,Very slightly or not at all,A little,Very slightly or not at all,Quite a bit,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Moderately,Quite a bit,Very slightly or not at all,Quite a bit,Very slightly or not at all,A little,Very slightly or not at all,Quite a bit,Quite a bit,Very slightly or not at all,Moderately,Very slightly or not at all
s0048,9/22/21 07:30,60,True,Quite a bit,A little,Moderately,Very slightly or not at all,Extremely,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Extremely,Quite a bit,Very slightly or not at all,Extremely,Very slightly or not at all,Quite a bit,Very slightly or not at all,Extremely,Extremely,Very slightly or not at all,Extremely,Very slightly or not at all
s0049,9/22/21 06:44,40,True,Moderately,Very slightly or not at all,A little,A little,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Moderately,Very slightly or not at all,Very slightly or not at all,Quite a bit,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,A little,Quite a bit,Very slightly or not at all,Moderately,Very slightly or not at all
s0050,9/22/21 06:23,45,True,Very slightly or not at all,A little,Very slightly or not at all,A little,Very slightly or not at all,Very slightly or not at all,A little,A little,Very slightly or not at all,Very slightly or not at all,Moderately,A little,Very slightly or not at all,Very slightly or not at all,A little,Very slightly or not at all,A little,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all
s0051,9/22/21 08:46,35,True,Quite a bit,Very slightly or not at all,A little,Very slightly or not at all,A little,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Moderately,Very slightly or not at all,Moderately,Very slightly or not at all,A little,A little,Quite a bit,Moderately,Very slightly or not at all,Moderately,Very slightly or not at all
s0052,9/22/21 07:55,46,True,Moderately,Very slightly or not at all,A little,Very slightly or not at all,Moderately,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,A little,A little,A little,Moderately,Very slightly or not at all,A little,A little,Quite a bit,Quite a bit,Very slightly or not at all,Quite a bit,Very slightly or not at all
s0054,9/22/21 09:10,79,True,Quite a bit,Very slightly or not at all,Moderately,Very slightly or not at all,A little,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Moderately,A little,Very slightly or not at all,Quite a bit,Very slightly or not at all,A little,Very slightly or not at all,Moderately,Quite a bit,Very slightly or not at all,Moderately,Very slightly or not at all
s0057,9/22/21 06:51,31,True,Moderately,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,A little,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,A little,A little,A little,Moderately,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,A little,Quite a bit,Very slightly or not at all,A little,Very slightly or not at all
s0058,9/22/21 10:30,129,True,A little,A little,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,A little,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Moderately,Very slightly or not at all,Very slightly or not at all,A little,Very slightly or not at all,A little,Very slightly or not at all,A little,A little
s0059,9/22/21 06:31,76,True,Quite a bit,Moderately,Quite a bit,A little,Quite a bit,A little,A little,Very slightly or not at all,Quite a bit,Quite a bit,A little,Quite a bit,Very slightly or not at all,Moderately,Moderately,Extremely,Extremely,Quite a bit,Quite a bit,A little
s0060,9/24/21 08:52,38,True,Quite a bit,Very slightly or not at all,Quite a bit,Very slightly or not at all,Moderately,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Moderately,Moderately,Very slightly or not at all,Quite a bit,Very slightly or not at all,Moderately,Very slightly or not at all,Moderately,Quite a bit,Very slightly or not at all,Moderately,Very slightly or not at all
s0061,9/22/21 07:51,457,True,Quite a bit,Very slightly or not at all,Moderately,Very slightly or not at all,Quite a bit,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Quite a bit,Extremely,Very slightly or not at all,Quite a bit,Very slightly or not at all,Moderately,Very slightly or not at all,Quite a bit,Quite a bit,Very slightly or not at all,Quite a bit,Very slightly or not at all
s0062,9/22/21 07:42,70,True,Quite a bit,Very slightly or not at all,A little,A little,Quite a bit,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Moderately,Moderately,Very slightly or not at all,Quite a bit,Very slightly or not at all,A little,Very slightly or not at all,Extremely,Extremely,Very slightly or not at all,Quite a bit,Very slightly or not at all
s0063,9/22/21 06:48,58,True,Moderately,Moderately,Moderately,Quite a bit,Moderately,A little,Moderately,A little,Moderately,A little,Moderately,Quite a bit,Very slightly or not at all,A little,Very slightly or not at all,Extremely,Quite a bit,A little,Quite a bit,Moderately
s0064,9/22/21 07:22,33,True,Quite a bit,Very slightly or not at all,A little,Very slightly or not at all,Quite a bit,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Moderately,,Moderately,Extremely,Very slightly or not at all,Moderately,A little,Extremely,Extremely,A little,Extremely,Very slightly or not at all
s0066,9/22/21 08:59,55,True,Quite a bit,Very slightly or not at all,Moderately,Very slightly or not at all,Quite a bit,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Quite a bit,Moderately,A little,Quite a bit,Very slightly or not at all,Moderately,Very slightly or not at all,Quite a bit,Quite a bit,Very slightly or not at all,Quite a bit,Very slightly or not at all
s0068,9/22/21 06:37,46,True,Quite a bit,Very slightly or not at all,A little,Very slightly or not at all,Quite a bit,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,A little,Moderately,Very slightly or not at all,Extremely,Very slightly or not at all,A little,Very slightly or not at all,Extremely,Extremely,Very slightly or not at all,Quite a bit,Very slightly or not at all
s0069,9/23/21 21:29,67,True,Quite a bit,Very slightly or not at all,Moderately,Very slightly or not at all,Moderately,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Moderately,Moderately,Very slightly or not at all,Quite a bit,Very slightly or not at all,A little,Very slightly or not at all,Moderately,Quite a bit,Very slightly or not at all,Moderately,Very slightly or not at all
s0071,9/22/21 07:54,90,True,Quite a bit,Very slightly or not at all,A little,Very slightly or not at all,Moderately,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Moderately,A little,Very slightly or not at all,Quite a bit,Very slightly or not at all,A little,Very slightly or not at all,Quite a bit,Quite a bit,Very slightly or not at all,Moderately,Very slightly or not at all
s0072,9/23/21 15:14,49,True,Quite a bit,Very slightly or not at all,Moderately,Very slightly or not at all,Extremely,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Quite a bit,Quite a bit,Very slightly or not at all,Quite a bit,Very slightly or not at all,Extremely,Very slightly or not at all,Quite a bit,,Very slightly or not at all,Extremely,Very slightly or not at all
s0074,9/22/21 07:34,48,True,A little,Quite a bit,A little,Moderately,Very slightly or not at all,A little,A little,Moderately,A little,A little,Quite a bit,Quite a bit,Moderately,Very slightly or not at all,Quite a bit,Moderately,Moderately,Very slightly or not at all,Quite a bit,Very slightly or not at all
s0075,9/22/21 07:37,36,True,Quite a bit,Very slightly or not at all,Moderately,Very slightly or not at all,A little,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Moderately,A little,A little,Moderately,Very slightly or not at all,A little,Very slightly or not at all,Moderately,Moderately,Very slightly or not at all,A little,Very slightly or not at all
s0076,9/22/21 07:42,46,True,Moderately,Very slightly or not at all,A little,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Quite a bit,Moderately,Very slightly or not at all,Quite a bit,Very slightly or not at all,Moderately,Very slightly or not at all,Quite a bit,Quite a bit,Very slightly or not at all,Moderately,Very slightly or not at all
s0077,9/22/21 06:28,44,True,Quite a bit,A little,Moderately,A little,Quite a bit,Very slightly or not at all,Very slightly or not at all,A little,Moderately,A little,A little,Quite a bit,Very slightly or not at all,Quite a bit,Moderately,Quite a bit,Quite a bit,Quite a bit,Moderately,A little
s0079,9/22/21 07:02,38,True,Quite a bit,Very slightly or not at all,Moderately,Very slightly or not at all,Moderately,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Quite a bit,Quite a bit,Very slightly or not at all,Extremely,Very slightly or not at all,Moderately,Very slightly or not at all,Extremely,Extremely,Very slightly or not at all,Quite a bit,Very slightly or not at all
s0081,9/22/21 08:56,51,True,Moderately,A little,A little,A little,Very slightly or not at all,A little,A little,Very slightly or not at all,Moderately,Very slightly or not at all,Very slightly or not at all,Quite a bit,A little,Moderately,Moderately,Moderately,Quite a bit,A little,Very slightly or not at all,A little
s0082,9/22/21 07:42,34,True,Moderately,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,A little,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,A little,Very slightly or not at all,A little,Quite a bit,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,A little,Quite a bit,Very slightly or not at all,A little,Very slightly or not at all
s0083,9/24/21 05:25,46,True,Moderately,Quite a bit,A little,Quite a bit,A little,Moderately,Very slightly or not at all,A little,Moderately,A little,Quite a bit,Quite a bit,A little,Very slightly or not at all,Extremely,Quite a bit,Extremely,A little,Very slightly or not at all,Moderately
s0084,9/24/21 07:06,44,True,Quite a bit,Very slightly or not at all,Moderately,Very slightly or not at all,Quite a bit,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Quite a bit,Quite a bit,Very slightly or not at all,Moderately,Very slightly or not at all,Moderately,Very slightly or not at all,Quite a bit,Quite a bit,Very slightly or not at all,Quite a bit,Very slightly or not at all
s0085,9/22/21 06:46,37,True,Moderately,Very slightly or not at all,A little,Very slightly or not at all,A little,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,A little,Very slightly or not at all,Moderately,Very slightly or not at all,A little,Very slightly or not at all,Quite a bit,Quite a bit,Very slightly or not at all,Moderately,Very slightly or not at all
s0088,9/24/21 09:36,58,True,Moderately,Very slightly or not at all,A little,A little,,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Moderately,Moderately,A little,Quite a bit,,A little,Very slightly or not at all,Quite a bit,Quite a bit,Very slightly or not at all,Moderately,Very slightly or not at all
s0091,9/24/21 08:21,31,True,Extremely,Very slightly or not at all,Quite a bit,Very slightly or not at all,Quite a bit,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Extremely,Extremely,A little,A little,Very slightly or not at all,Quite a bit,Very slightly or not at all,Extremely,Extremely,Quite a bit,Quite a bit,Very slightly or not at all
s0092,9/22/21 13:19,62,True,Quite a bit,A little,A little,Very slightly or not at all,Moderately,A little,Very slightly or not at all,Quite a bit,Moderately,A little,Quite a bit,A little,Very slightly or not at all,Moderately,Very slightly or not at all,A little,Quite a bit,Very slightly or not at all,Moderately,Very slightly or not at all
s0093,9/22/21 07:51,47,True,Moderately,Very slightly or not at all,A little,Very slightly or not at all,A little,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,A little,A little,Very slightly or not at all,Moderately,A little,Very slightly or not at all,A little,Moderately,Moderately,Very slightly or not at all,Moderately,Very slightly or not at all
s0094,9/22/21 19:20,45,True,Quite a bit,Very slightly or not at all,Moderately,Very slightly or not at all,Extremely,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Quite a bit,Extremely,A little,Moderately,Very slightly or not at all,Moderately,Very slightly or not at all,Quite a bit,Extremely,Very slightly or not at all,Quite a bit,Very slightly or not at all
s0096,9/22/21 06:35,63,True,Quite a bit,A little,Moderately,Moderately,Moderately,A little,Very slightly or not at all,A little,Moderately,Moderately,Moderately,Extremely,A little,A little,A little,Quite a bit,Extremely,Very slightly or not at all,Moderately,A little
s0097,9/23/21 21:42,48,True,Quite a bit,A little,Moderately,Very slightly or not at all,Quite a bit,Very slightly or not at all,Very slightly or not at all,A little,Moderately,Quite a bit,A little,Moderately,Very slightly or not at all,Moderately,A little,Quite a bit,Quite a bit,Very slightly or not at all,A little,Very slightly or not at all
s0098,9/22/21 07:34,43,True,Moderately,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Moderately,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,A little,Moderately,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,,A little,Moderately,Moderately,Very slightly or not at all,Moderately,Very slightly or not at all
s0100,9/25/21 20:57,56,True,A little,Moderately,A little,A little,A little,A little,Very slightly or not at all,A little,Very slightly or not at all,A little,Moderately,Moderately,A little,Very slightly or not at all,Moderately,Moderately,Moderately,Moderately,Moderately,A little
s0101,9/24/21 07:50,41,True,Moderately,Quite a bit,Very slightly or not at all,Moderately,A little,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Extremely,Extremely,Very slightly or not at all,Very slightly or not at all,Quite a bit,Very slightly or not at all,Quite a bit,Moderately,A little,Very slightly or not at all
s0103,9/22/21 12:36,101,True,Quite a bit,A little,Moderately,A little,A little,A little,A little,Very slightly or not at all,Moderately,Quite a bit,A little,Extremely,Very slightly or not at all,Moderately,A little,Moderately,Extremely,Very slightly or not at all,Quite a bit,A little
s0104,9/22/21 06:46,44,True,Quite a bit,Very slightly or not at all,A little,Very slightly or not at all,Moderately,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,A little,A little,Very slightly or not at all,Quite a bit,Very slightly or not at all,A little,Very slightly or not at all,Quite a bit,Quite a bit,Very slightly or not at all,Quite a bit,Very slightly or not at all
s0105,9/22/21 07:07,146,True,Moderately,A little,Moderately,A little,A little,A little,A little,Very slightly or not at all,A little,A little,Moderately,A little,A little,Moderately,Moderately,A little,Moderately,A little,Moderately,A little
s0106,9/23/21 18:07,55,True,Moderately,A little,Moderately,A little,Very slightly or not at all,Moderately,A little,Moderately,Moderately,Very slightly or not at all,Moderately,A little,A little,Very slightly or not at all,A little,Very slightly or not at all,Moderately,A little,Very slightly or not at all,A little
s0107,9/24/21 12:55,65,True,Moderately,Moderately,A little,Quite a bit,A little,Quite a bit,Moderately,Moderately,A little,A little,Quite a bit,Moderately,Quite a bit,A little,Quite a bit,A little,Quite a bit,Moderately,Moderately,Moderately
s0108,9/22/21 11:51,45,True,Quite a bit,A little,Moderately,A little,Moderately,Very slightly or not at all,Very slightly or not at all,A little,Moderately,A little,A little,Moderately,Very slightly or not at all,Moderately,Very slightly or not at all,Quite a bit,Moderately,A little,Moderately,Very slightly or not at all
s0109,9/22/21 10:10,81,True,Quite a bit,A little,A little,Very slightly or not at all,Moderately,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Moderately,Very slightly or not at all,Very slightly or not at all,Moderately,Very slightly or not at all,Quite a bit,A little,Quite a bit,Moderately,A little,Moderately,Very slightly or not at all
s0110,9/22/21 07:19,67,True,Quite a bit,A little,Very slightly or not at all,Very slightly or not at all,Moderately,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Quite a bit,Very slightly or not at all,Very slightly or not at all,Quite a bit,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Quite a bit,Quite a bit,Very slightly or not at all,Quite a bit,Very slightly or not at all
s0111,9/22/21 08:30,69,True,Moderately,A little,A little,Very slightly or not at all,A little,Very slightly or not at all,A little,Very slightly or not at all,Moderately,Very slightly or not at all,Moderately,Quite a bit,Very slightly or not at all,A little,Moderately,A little,Moderately,A little,Moderately,A little
s0113,9/22/21 18:48,56,True,Quite a bit,Very slightly or not at all,Moderately,Very slightly or not at all,Quite a bit,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Moderately,A little,Very slightly or not at all,Extremely,Very slightly or not at all,A little,A little,Extremely,Extremely,Very slightly or not at all,Extremely,Very slightly or not at all
s0114,9/22/21 11:54,46,True,A little,A little,Very slightly or not at all,A little,Very slightly or not at all,Very slightly or not at all,A little,A little,Very slightly or not at all,Very slightly or not at all,Moderately,Moderately,Very slightly or not at all,Very slightly or not at all,A little,Moderately,Moderately,A little,A little,Very slightly or not at all
s0115,9/22/21 08:15,193,True,Moderately,Very slightly or not at all,A little,Very slightly or not at all,Quite a bit,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,A little,Quite a bit,Very slightly or not at all,Quite a bit,Very slightly or not at all,Moderately,Very slightly or not at all,Moderately,Quite a bit,Very slightly or not at all,Quite a bit,Very slightly or not at all
s0116,9/22/21 07:56,58,True,Quite a bit,Very slightly or not at all,A little,Very slightly or not at all,Moderately,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Moderately,A little,Very slightly or not at all,Quite a bit,Very slightly or not at all,Moderately,Very slightly or not at all,Quite a bit,Quite a bit,Very slightly or not at all,Quite a bit,Very slightly or not at all
s0117,9/24/21 06:22,70,True,Extremely,Very slightly or not at all,Moderately,Very slightly or not at all,Quite a bit,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Quite a bit,Quite a bit,Very slightly or not at all,Quite a bit,Very slightly or not at all,Quite a bit,A little,Extremely,Quite a bit,Very slightly or not at all,Moderately,Very slightly or not at all
s0119,9/22/21 08:25,68,True,Moderately,A little,Very slightly or not at all,Very slightly or not at all,Moderately,A little,Very slightly or not at all,Very slightly or not at all,Moderately,Very slightly or not at all,Very slightly or not at all,Quite a bit,Very slightly or not at all,Moderately,Very slightly or not at all,Quite a bit,Quite a bit,Very slightly or not at all,Moderately,Very slightly or not at all
s0120,9/22/21 06:36,76,True,Moderately,A little,Moderately,A little,A little,Very slightly or not at all,A little,Very slightly or not at all,Moderately,Moderately,A little,Moderately,Very slightly or not at all,A little,Moderately,Quite a bit,Quite a bit,Very slightly or not at all,A little,A little
s0121,9/23/21 13:50,55,True,Extremely,Very slightly or not at all,Moderately,Very slightly or not at all,Quite a bit,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Quite a bit,Moderately,Very slightly or not at all,Moderately,Very slightly or not at all,Moderately,Very slightly or not at all,Quite a bit,Quite a bit,Very slightly or not at all,Quite a bit,Very slightly or not at all
s0122,9/22/21 06:43,74,True,Moderately,A little,A little,Moderately,Very slightly or not at all,Moderately,Very slightly or not at all,A little,A little,Quite a bit,Moderately,Quite a bit,Quite a bit,A little,Quite a bit,Quite a bit,Quite a bit,A little,Moderately,Very slightly or not at all
s0124,9/24/21 08:10,55,True,A little,Extremely,Very slightly or not at all,Extremely,Very slightly or not at all,Moderately,Quite a bit,A little,Very slightly or not at all,A little,Quite a bit,Quite a bit,Moderately,Very slightly or not at all,Quite a bit,A little,Quite a bit,Moderately,Moderately,Quite a bit
s0126,9/22/21 10:26,44,True,Moderately,Very slightly or not at all,Moderately,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Moderately,Very slightly or not at all,Very slightly or not at all,Moderately,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all
s0128,9/22/21 12:42,53,True,Quite a bit,A little,Moderately,Moderately,A little,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Moderately,Extremely,A little,Moderately,Very slightly or not at all,A little,A little,Quite a bit,Quite a bit,Very slightly or not at all,A little,Very slightly or not at all
s0129,9/22/21 07:49,29,True,Quite a bit,A little,Quite a bit,A little,Moderately,A little,A little,A little,Quite a bit,Quite a bit,A little,Quite a bit,A little,Quite a bit,A little,Quite a bit,Quite a bit,A little,Quite a bit,A little
s0130,9/24/21 08:28,48,True,Moderately,A little,Very slightly or not at all,A little,Quite a bit,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,A little,A little,A little,Quite a bit,Very slightly or not at all,A little,A little,Quite a bit,Quite a bit,Very slightly or not at all,Moderately,Very slightly or not at all
s0131,9/22/21 13:10,45,True,Moderately,A little,Very slightly or not at all,A little,Moderately,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,A little,Moderately,Moderately,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Quite a bit,Extremely,Very slightly or not at all,Moderately,Very slightly or not at all
s0132,9/22/21 09:55,45,True,Extremely,A little,Quite a bit,Very slightly or not at all,Moderately,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Quite a bit,Extremely,Very slightly or not at all,Extremely,Very slightly or not at all,Quite a bit,Extremely,Extremely,Extremely,Very slightly or not at all,Moderately,Very slightly or not at all
s0133,9/22/21 07:39,52,True,Moderately,Very slightly or not at all,A little,Very slightly or not at all,Moderately,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Moderately,Quite a bit,Very slightly or not at all,Quite a bit,Very slightly or not at all,Moderately,A little,Quite a bit,Extremely,Very slightly or not at all,Moderately,Very slightly or not at all
s0134,9/27/21 14:21,49,True,Moderately,A little,Moderately,A little,A little,A little,Very slightly or not at all,Very slightly or not at all,Moderately,A little,A little,Quite a bit,Very slightly or not at all,A little,Very slightly or not at all,A little,Quite a bit,Moderately,Very slightly or not at all,Very slightly or not at all
s0136,9/22/21 09:14,77,True,Moderately,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Moderately,A little,Very slightly or not at all,Very slightly or not at all,A little,A little,A little,Quite a bit,Very slightly or not at all,Moderately,Very slightly or not at all,Moderately,Quite a bit,Very slightly or not at all,Moderately,Very slightly or not at all
s0137,9/22/21 07:17,49,True,A little,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Moderately,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,A little,Quite a bit,Quite a bit,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Extremely,Quite a bit,Very slightly or not at all,Quite a bit,Very slightly or not at all
s0139,9/22/21 07:25,58,True,Quite a bit,A little,Moderately,Quite a bit,Quite a bit,Very slightly or not at all,A little,Very slightly or not at all,Moderately,Moderately,Moderately,Quite a bit,,Moderately,Moderately,Quite a bit,Quite a bit,Very slightly or not at all,Moderately,Very slightly or not at all
s0140,9/22/21 07:14,44,True,Extremely,Very slightly or not at all,Extremely,A little,Extremely,Quite a bit,Moderately,Extremely,Moderately,Extremely,Quite a bit,Moderately,A little,Quite a bit,Very slightly or not at all,Moderately,Quite a bit,Moderately,Extremely,Moderately
s0141,9/22/21 11:18,40,True,Moderately,Very slightly or not at all,A little,Very slightly or not at all,Moderately,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,A little,A little,Very slightly or not at all,Quite a bit,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Moderately,Quite a bit,Very slightly or not at all,Quite a bit,Very slightly or not at all
s0142,9/22/21 10:42,101,True,Quite a bit,Very slightly or not at all,Moderately,Very slightly or not at all,Quite a bit,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Quite a bit,Quite a bit,Very slightly or not at all,Quite a bit,Very slightly or not at all,Quite a bit,Very slightly or not at all,Quite a bit,Quite a bit,Very slightly or not at all,Quite a bit,Very slightly or not at all
s0143,9/22/21 13:36,74,True,Quite a bit,Very slightly or not at all,A little,Very slightly or not at all,A little,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Moderately,Very slightly or not at all,Very slightly or not at all,Extremely,Very slightly or not at all,Quite a bit,Very slightly or not at all,Extremely,Extremely,Very slightly or not at all,A little,Very slightly or not at all
s0145,9/22/21 11:39,43,True,Moderately,Very slightly or not at all,Moderately,Moderately,Moderately,Very slightly or not at all,Very slightly or not at all,A little,Moderately,Moderately,A little,Extremely,A little,Moderately,Very slightly or not at all,Extremely,Extremely,A little,Quite a bit,Very slightly or not at all
s0146,9/22/21 11:35,35,True,A little,A little,Very slightly or not at all,Very slightly or not at all,A little,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,A little,Moderately,Moderately,Very slightly or not at all,A little,A little,Moderately,Moderately,Very slightly or not at all,Moderately,Very slightly or not at all
s0147,9/22/21 06:53,36,True,Quite a bit,Very slightly or not at all,Moderately,Very slightly or not at all,Quite a bit,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Quite a bit,Quite a bit,Very slightly or not at all,Extremely,Very slightly or not at all,Quite a bit,Very slightly or not at all,Quite a bit,Extremely,Very slightly or not at all,Extremely,Very slightly or not at all
