id,selfreport_date,selfreport_duration,selfreport_finished,PA-1,PA-2,PA-3,PA-4,PA-5,PA-6,PA-7,PA-8,PA-9,PA-10,PA-11,PA-12,PA-13,PA-14,PA-15,PA-16,PA-17,PA-18,PA-19,PA-20
s0038,9/13/21 12:59,5,1,,,,,,,,,,,,,,,,,,,,
s0039,9/14/21 07:58,5,1,,,,,,,,,,,,,,,,,,,,
s0040,9/13/21 16:42,17,1,,,,,,,,,,,,,,,,,,,,
s0041,9/13/21 12:12,3,1,,,,,,,,,,,,,,,,,,,,
s0043,9/13/21 11:49,8,1,,,,,,,,,,,,,,,,,,,,
s0044,9/23/21 06:33,36,1,4.0,1.0,5.0,1.0,5.0,1.0,1.0,1.0,5.0,6.0,1.0,6.0,1.0,4.0,1.0,5.0,6.0,1.0,5.0,1.0
s0045,9/22/21 08:25,41,1,5.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,5.0,4.0,6.0,1.0,2.0,4.0,6.0,6.0,4.0,4.0,1.0
s0046,9/22/21 07:22,35,1,3.0,4.0,5.0,4.0,4.0,1.0,1.0,1.0,4.0,2.0,1.0,5.0,1.0,2.0,1.0,1.0,6.0,2.0,5.0,1.0
s0047,9/22/21 06:31,53,1,4.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,4.0,5.0,1.0,5.0,1.0,2.0,1.0,5.0,5.0,1.0,4.0,1.0
s0048,9/22/21 07:30,60,1,4.0,2.0,4.0,1.0,6.0,1.0,1.0,1.0,6.0,5.0,1.0,6.0,1.0,5.0,1.0,6.0,6.0,1.0,6.0,1.0
s0049,9/22/21 06:44,40,1,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,5.0,1.0,4.0,1.0
s0050,9/22/21 06:23,45,1,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0
s0051,9/22/21 08:46,35,1,4.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,5.0,4.0,1.0,4.0,1.0
s0052,9/22/21 07:55,46,1,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,5.0,5.0,1.0,5.0,1.0
s0054,9/22/21 09:10,79,1,4.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,5.0,1.0,2.0,1.0,4.0,5.0,1.0,4.0,1.0
s0057,9/22/21 06:51,31,1,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,5.0,1.0,2.0,1.0
s0058,9/22/21 10:30,129,1,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0
s0059,9/22/21 06:31,76,1,4.0,4.0,5.0,2.0,5.0,2.0,2.0,1.0,5.0,5.0,2.0,5.0,1.0,4.0,4.0,6.0,6.0,5.0,5.0,2.0
s0060,9/24/21 08:52,38,1,4.0,1.0,5.0,1.0,4.0,1.0,1.0,1.0,4.0,4.0,1.0,5.0,1.0,4.0,1.0,4.0,5.0,1.0,4.0,1.0
s0061,9/22/21 07:51,457,1,4.0,1.0,4.0,1.0,5.0,1.0,1.0,1.0,5.0,6.0,1.0,5.0,1.0,4.0,1.0,5.0,5.0,1.0,5.0,1.0
s0062,9/22/21 07:42,70,1,4.0,1.0,2.0,2.0,5.0,1.0,1.0,1.0,4.0,4.0,1.0,5.0,1.0,2.0,1.0,6.0,6.0,1.0,5.0,1.0
s0063,9/22/21 06:48,58,1,3.0,4.0,4.0,5.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,5.0,1.0,2.0,1.0,6.0,5.0,2.0,5.0,4.0
s0064,9/22/21 07:22,33,1,4.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,4.0,,4.0,6.0,1.0,4.0,2.0,6.0,6.0,2.0,6.0,1.0
s0066,9/22/21 08:59,55,1,4.0,1.0,4.0,1.0,5.0,1.0,1.0,1.0,5.0,4.0,2.0,5.0,1.0,4.0,1.0,5.0,5.0,1.0,5.0,1.0
s0068,9/22/21 06:37,46,1,4.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,2.0,4.0,1.0,6.0,1.0,2.0,1.0,6.0,6.0,1.0,5.0,1.0
s0069,9/23/21 21:29,67,1,4.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,4.0,4.0,1.0,5.0,1.0,2.0,1.0,4.0,5.0,1.0,4.0,1.0
s0071,9/22/21 07:54,90,1,4.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,4.0,2.0,1.0,5.0,1.0,2.0,1.0,5.0,5.0,1.0,4.0,1.0
s0072,9/23/21 15:14,49,1,4.0,1.0,4.0,1.0,6.0,1.0,1.0,1.0,5.0,5.0,1.0,5.0,1.0,6.0,1.0,5.0,,1.0,6.0,1.0
s0074,9/22/21 07:34,48,1,2.0,5.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,2.0,5.0,5.0,4.0,1.0,5.0,4.0,4.0,1.0,5.0,1.0
s0075,9/22/21 07:37,36,1,4.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,4.0,2.0,2.0,4.0,1.0,2.0,1.0,4.0,4.0,1.0,2.0,1.0
s0076,9/22/21 07:42,46,1,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,1.0,5.0,1.0,4.0,1.0,5.0,5.0,1.0,4.0,1.0
s0077,9/22/21 06:28,44,1,4.0,2.0,4.0,2.0,5.0,1.0,1.0,2.0,4.0,2.0,2.0,5.0,1.0,5.0,4.0,5.0,5.0,5.0,4.0,2.0
s0079,9/22/21 07:02,38,1,4.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,5.0,5.0,1.0,6.0,1.0,4.0,1.0,6.0,6.0,1.0,5.0,1.0
s0081,9/22/21 08:56,51,1,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,1.0,1.0,5.0,2.0,4.0,4.0,4.0,5.0,2.0,1.0,2.0
s0082,9/22/21 07:42,34,1,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,5.0,1.0,1.0,1.0,2.0,5.0,1.0,2.0,1.0
s0083,9/24/21 05:25,46,1,3.0,5.0,2.0,5.0,2.0,4.0,1.0,2.0,4.0,2.0,5.0,5.0,2.0,1.0,6.0,5.0,6.0,2.0,1.0,4.0
s0084,9/24/21 07:06,44,1,4.0,1.0,4.0,1.0,5.0,1.0,1.0,1.0,5.0,5.0,1.0,4.0,1.0,4.0,1.0,5.0,5.0,1.0,5.0,1.0
s0085,9/22/21 06:46,37,1,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,5.0,5.0,1.0,4.0,1.0
s0088,9/24/21 09:36,58,1,3.0,1.0,2.0,2.0,,1.0,1.0,1.0,4.0,4.0,2.0,5.0,,2.0,1.0,5.0,5.0,1.0,4.0,1.0
s0091,9/24/21 08:21,31,1,5.0,1.0,5.0,1.0,5.0,1.0,1.0,1.0,6.0,6.0,2.0,2.0,1.0,5.0,1.0,6.0,6.0,5.0,5.0,1.0
s0092,9/22/21 13:19,62,1,4.0,2.0,2.0,1.0,4.0,2.0,1.0,5.0,4.0,2.0,5.0,2.0,1.0,4.0,1.0,2.0,5.0,1.0,4.0,1.0
s0093,9/22/21 07:51,47,1,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,2.0,4.0,4.0,1.0,4.0,1.0
s0094,9/22/21 19:20,45,1,4.0,1.0,4.0,1.0,6.0,1.0,1.0,1.0,5.0,6.0,2.0,4.0,1.0,4.0,1.0,5.0,6.0,1.0,5.0,1.0
s0096,9/22/21 06:35,63,1,4.0,2.0,4.0,4.0,4.0,2.0,1.0,2.0,4.0,4.0,4.0,6.0,2.0,2.0,2.0,5.0,6.0,1.0,4.0,2.0
s0097,9/23/21 21:42,48,1,4.0,2.0,4.0,1.0,5.0,1.0,1.0,2.0,4.0,5.0,2.0,4.0,1.0,4.0,2.0,5.0,5.0,1.0,2.0,1.0
s0098,9/22/21 07:34,43,1,3.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,,2.0,4.0,4.0,1.0,4.0,1.0
s0100,9/25/21 20:57,56,1,2.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,4.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,2.0
s0101,9/24/21 07:50,41,1,3.0,5.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,1.0,1.0,5.0,1.0,5.0,4.0,2.0,1.0
s0103,9/22/21 12:36,101,1,4.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,4.0,5.0,2.0,6.0,1.0,4.0,2.0,4.0,6.0,1.0,5.0,2.0
s0104,9/22/21 06:46,44,1,4.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,1.0,2.0,1.0,5.0,5.0,1.0,5.0,1.0
s0105,9/22/21 07:07,146,1,3.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,2.0,4.0,2.0
s0106,9/23/21 18:07,55,1,3.0,2.0,4.0,2.0,1.0,4.0,2.0,4.0,4.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,4.0,2.0,1.0,2.0
s0107,9/24/21 12:55,65,1,3.0,4.0,2.0,5.0,2.0,5.0,4.0,4.0,2.0,2.0,5.0,4.0,5.0,2.0,5.0,2.0,5.0,4.0,4.0,4.0
s0108,9/22/21 11:51,45,1,4.0,2.0,4.0,2.0,4.0,1.0,1.0,2.0,4.0,2.0,2.0,4.0,1.0,4.0,1.0,5.0,4.0,2.0,4.0,1.0
s0109,9/22/21 10:10,81,1,4.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,5.0,2.0,5.0,4.0,2.0,4.0,1.0
s0110,9/22/21 07:19,67,1,4.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,5.0,1.0,5.0,1.0
s0111,9/22/21 08:30,69,1,3.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,4.0,5.0,1.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0
s0113,9/22/21 18:48,56,1,4.0,1.0,4.0,1.0,5.0,1.0,1.0,1.0,4.0,2.0,1.0,6.0,1.0,2.0,2.0,6.0,6.0,1.0,6.0,1.0
s0114,9/22/21 11:54,46,1,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,2.0,4.0,4.0,2.0,2.0,1.0
s0115,9/22/21 08:15,193,1,3.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,2.0,5.0,1.0,5.0,1.0,4.0,1.0,4.0,5.0,1.0,5.0,1.0
s0116,9/22/21 07:56,58,1,4.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,4.0,2.0,1.0,5.0,1.0,4.0,1.0,5.0,5.0,1.0,5.0,1.0
s0117,9/24/21 06:22,70,1,5.0,1.0,4.0,1.0,5.0,1.0,1.0,1.0,5.0,5.0,1.0,5.0,1.0,5.0,2.0,6.0,5.0,1.0,4.0,1.0
s0119,9/22/21 08:25,68,1,3.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,4.0,1.0,1.0,5.0,1.0,4.0,1.0,5.0,5.0,1.0,4.0,1.0
s0120,9/22/21 06:36,76,1,3.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,4.0,4.0,2.0,4.0,1.0,2.0,4.0,5.0,5.0,1.0,2.0,2.0
s0121,9/23/21 13:50,55,1,5.0,1.0,4.0,1.0,5.0,1.0,1.0,1.0,5.0,4.0,1.0,4.0,1.0,4.0,1.0,5.0,5.0,1.0,5.0,1.0
s0122,9/22/21 06:43,74,1,3.0,2.0,2.0,4.0,1.0,4.0,1.0,2.0,2.0,5.0,4.0,5.0,5.0,2.0,5.0,5.0,5.0,2.0,4.0,1.0
s0124,9/24/21 08:10,55,1,2.0,6.0,1.0,6.0,1.0,4.0,5.0,2.0,1.0,2.0,5.0,5.0,4.0,1.0,5.0,2.0,5.0,4.0,4.0,5.0
s0126,9/22/21 10:26,44,1,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0
s0128,9/22/21 12:42,53,1,4.0,2.0,4.0,4.0,2.0,1.0,1.0,1.0,4.0,6.0,2.0,4.0,1.0,2.0,2.0,5.0,5.0,1.0,2.0,1.0
s0129,9/22/21 07:49,29,1,4.0,2.0,5.0,2.0,4.0,2.0,2.0,2.0,5.0,5.0,2.0,5.0,2.0,5.0,2.0,5.0,5.0,2.0,5.0,2.0
s0130,9/24/21 08:28,48,1,3.0,2.0,1.0,2.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,2.0,5.0,5.0,1.0,4.0,1.0
s0131,9/22/21 13:10,45,1,3.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,1.0,1.0,1.0,5.0,6.0,1.0,4.0,1.0
s0132,9/22/21 09:55,45,1,5.0,2.0,5.0,1.0,4.0,1.0,1.0,1.0,5.0,6.0,1.0,6.0,1.0,5.0,6.0,6.0,6.0,1.0,4.0,1.0
s0133,9/22/21 07:39,52,1,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,4.0,5.0,1.0,5.0,1.0,4.0,2.0,5.0,6.0,1.0,4.0,1.0
s0134,9/27/21 14:21,49,1,3.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,5.0,1.0,2.0,1.0,2.0,5.0,4.0,1.0,1.0
s0136,9/22/21 09:14,77,1,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,4.0,1.0,4.0,5.0,1.0,4.0,1.0
s0137,9/22/21 07:17,49,1,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,5.0,5.0,1.0,1.0,1.0,6.0,5.0,1.0,5.0,1.0
s0139,9/22/21 07:25,58,1,4.0,2.0,4.0,5.0,5.0,1.0,2.0,1.0,4.0,4.0,4.0,5.0,,4.0,4.0,5.0,5.0,1.0,4.0,1.0
s0140,9/22/21 07:14,44,1,5.0,1.0,6.0,2.0,6.0,5.0,4.0,6.0,4.0,6.0,5.0,4.0,2.0,5.0,1.0,4.0,5.0,4.0,6.0,4.0
s0141,9/22/21 11:18,40,1,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,1.0,1.0,1.0,4.0,5.0,1.0,5.0,1.0
s0142,9/22/21 10:42,101,1,4.0,1.0,4.0,1.0,5.0,1.0,1.0,1.0,5.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,1.0,5.0,1.0
s0143,9/22/21 13:36,74,1,4.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,6.0,1.0,5.0,1.0,6.0,6.0,1.0,2.0,1.0
s0145,9/22/21 11:39,43,1,3.0,1.0,4.0,4.0,4.0,1.0,1.0,2.0,4.0,4.0,2.0,6.0,2.0,4.0,1.0,6.0,6.0,2.0,5.0,1.0
s0146,9/22/21 11:35,35,1,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,1.0,2.0,2.0,4.0,4.0,1.0,4.0,1.0
s0147,9/22/21 06:53,36,1,4.0,1.0,4.0,1.0,5.0,1.0,1.0,1.0,5.0,5.0,1.0,6.0,1.0,5.0,1.0,5.0,6.0,1.0,6.0,1.0
s0148,9/22/21 15:21,43,1,5.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,5.0,4.0,1.0,4.0,1.0,5.0,1.0,4.0,6.0,1.0,4.0,1.0
s0150,9/22/21 13:36,56,1,3.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,4.0,2.0,2.0,6.0,1.0,4.0,2.0,5.0,4.0,4.0,5.0,1.0
s0151,9/22/21 11:40,51,1,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0
s0152,9/24/21 10:16,41,1,4.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,4.0,4.0,1.0,4.0,1.0,4.0,2.0,5.0,5.0,1.0,4.0,1.0
s0153,9/22/21 06:26,59,1,3.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,4.0,5.0,1.0,2.0,2.0
s0154,9/22/21 07:57,57,1,2.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,5.0,4.0,1.0,2.0,1.0,6.0,5.0,1.0,1.0,1.0
s0155,9/22/21 07:05,45,1,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0
s0156,9/22/21 09:58,33,1,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,4.0,2.0,1.0,4.0,1.0,4.0,1.0,4.0,4.0,1.0,4.0,1.0
s0157,9/24/21 10:39,95,1,4.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,1.0,1.0,1.0,5.0,6.0,1.0,5.0,1.0
s0158,9/24/21 14:13,62,1,2.0,4.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,4.0,2.0,2.0,5.0,1.0,1.0,2.0
s0159,9/22/21 14:23,181,1,3.0,4.0,2.0,4.0,5.0,4.0,2.0,2.0,2.0,1.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,2.0,4.0,2.0
s0160,9/22/21 10:20,61,1,4.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,4.0,5.0,1.0,4.0,1.0,2.0,1.0,5.0,5.0,1.0,5.0,1.0
s0162,9/24/21 14:38,63,1,4.0,2.0,5.0,4.0,6.0,1.0,1.0,2.0,5.0,4.0,2.0,5.0,1.0,4.0,1.0,5.0,5.0,1.0,5.0,1.0
s0164,9/24/21 16:09,77,1,3.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,5.0,4.0,1.0,5.0,5.0,5.0,4.0,4.0,1.0
s0165,9/22/21 08:27,52,1,4.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,4.0,2.0,1.0,5.0,1.0,2.0,2.0,5.0,5.0,1.0,4.0,1.0
s0166,9/22/21 07:45,39,1,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,4.0,1.0,2.0,1.0
s0167,9/22/21 07:39,33,1,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,2.0
s0168,9/22/21 10:32,45,1,5.0,1.0,5.0,1.0,5.0,1.0,1.0,1.0,6.0,5.0,1.0,6.0,1.0,6.0,1.0,5.0,6.0,1.0,6.0,1.0
s0169,9/22/21 11:53,62,1,4.0,1.0,4.0,1.0,5.0,1.0,1.0,1.0,5.0,5.0,1.0,5.0,1.0,4.0,1.0,5.0,5.0,1.0,5.0,1.0
s0171,9/22/21 14:10,39,1,3.0,2.0,2.0,1.0,5.0,1.0,1.0,1.0,4.0,4.0,2.0,5.0,1.0,4.0,2.0,5.0,5.0,2.0,4.0,1.0
s0172,9/23/21 14:29,70,1,2.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,5.0,1.0,1.0,2.0
s0173,9/22/21 09:47,213,1,4.0,2.0,6.0,2.0,6.0,1.0,2.0,1.0,6.0,6.0,1.0,6.0,1.0,6.0,2.0,6.0,6.0,1.0,6.0,1.0
s0174,9/22/21 06:27,58,1,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,5.0,1.0,1.0,1.0,6.0,4.0,1.0,5.0,1.0
s0177,9/22/21 08:08,51,1,4.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,1.0,2.0,1.0,4.0,4.0,2.0,2.0,1.0
s0178,9/22/21 10:19,82,1,5.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,5.0,4.0,2.0,5.0,1.0,4.0,1.0,5.0,6.0,1.0,4.0,1.0
s0179,9/22/21 06:37,82,1,2.0,4.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,5.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0
s0180,9/22/21 07:22,73,1,4.0,2.0,5.0,2.0,2.0,1.0,1.0,1.0,4.0,4.0,1.0,6.0,1.0,1.0,1.0,5.0,5.0,1.0,5.0,1.0
s0181,9/22/21 06:26,35,1,3.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,4.0,4.0,1.0,5.0,1.0,2.0,2.0,5.0,5.0,1.0,5.0,1.0
s0182,9/22/21 08:34,74,1,3.0,6.0,2.0,6.0,5.0,6.0,6.0,6.0,2.0,2.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,4.0,4.0,6.0
s0183,9/23/21 22:15,56,1,2.0,4.0,2.0,4.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,4.0,2.0,5.0,4.0,4.0,4.0,1.0,2.0,1.0
s0185,9/22/21 11:21,41,1,4.0,2.0,4.0,2.0,5.0,1.0,1.0,1.0,5.0,4.0,1.0,4.0,1.0,4.0,1.0,5.0,5.0,1.0,4.0,1.0
s0187,9/22/21 08:47,29,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0
s0188,9/22/21 08:07,53,1,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,4.0,4.0,1.0,4.0,1.0
s0189,9/22/21 07:02,48,1,3.0,4.0,5.0,2.0,4.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,5.0,4.0,4.0,1.0
s0190,9/22/21 06:25,61,1,4.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,4.0,4.0,1.0,6.0,1.0,6.0,1.0,6.0,6.0,1.0,6.0,1.0
s0192,9/23/21 12:39,63,1,4.0,2.0,1.0,4.0,4.0,1.0,1.0,1.0,4.0,2.0,5.0,5.0,1.0,2.0,2.0,5.0,5.0,2.0,5.0,1.0
s0194,9/22/21 12:46,65,1,4.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,4.0,5.0,2.0,2.0,2.0,5.0,4.0,1.0,2.0,1.0
s0195,9/22/21 10:40,50,1,3.0,5.0,2.0,4.0,1.0,1.0,4.0,2.0,2.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,5.0,1.0,4.0,4.0
s0196,9/28/21 19:31,77,1,4.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,6.0,6.0,1.0,6.0,1.0,2.0,1.0,6.0,6.0,1.0,2.0,1.0
s0197,9/28/21 02:00,54,1,4.0,4.0,4.0,2.0,5.0,2.0,1.0,2.0,5.0,5.0,2.0,5.0,2.0,5.0,4.0,5.0,5.0,1.0,5.0,2.0
s0198,9/22/21 11:28,65,1,4.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,5.0,1.0,2.0,5.0,1.0,5.0,2.0,5.0,5.0,1.0,2.0,2.0
s0199,9/22/21 23:29,42,1,4.0,1.0,4.0,1.0,5.0,1.0,1.0,1.0,4.0,5.0,1.0,5.0,1.0,4.0,1.0,5.0,5.0,1.0,5.0,1.0
s0200,9/22/21 06:33,200,1,4.0,1.0,5.0,1.0,4.0,1.0,1.0,,5.0,6.0,1.0,5.0,1.0,5.0,1.0,6.0,6.0,,1.0,1.0
s0201,9/24/21 09:25,94,1,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,4.0,1.0,5.0,1.0,2.0,1.0,5.0,5.0,1.0,5.0,1.0
s0203,9/22/21 19:45,54,1,5.0,1.0,5.0,1.0,6.0,1.0,1.0,1.0,6.0,5.0,1.0,6.0,1.0,5.0,1.0,6.0,6.0,1.0,5.0,1.0
s0204,9/23/21 05:57,49,1,5.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,6.0,6.0,6.0,6.0,1.0,6.0,1.0,6.0,6.0,1.0,1.0,1.0
